278+102	380
54887+142	55029
6807+378	7185
81821+9624	91445
4009+150	4159
22990+5559	28549
77243+35483	112726
786+7027	7813
310+829	1139
360+850	1210
7450+1550	9000
822+500	1322
1478+5480	6958
64604+690	65294
81812+66445	148257
2929+75454	78383
1444+662	2106
48354+74625	122979
858+389	1247
3456+4103	7559
37128+4806	41934
97585+3836	101421
180+9370	9550
773+46463	47236
53811+2094	55905
9526+30808	40334
6144+39146	45290
1525+6411	7936
963+79864	80827
7157+255	7412
259+98540	98799
802+90332	91134
96372+6989	103361
37418+59622	97040
234+76613	76847
441+675	1116
4353+83151	87504
517+2612	3129
19039+4990	24029
2808+55062	57870
973+2549	3522
92243+92058	184301
560+724	1284
36897+9121	46018
72930+833	73763
232+7878	8110
362+8331	8693
77635+6531	84166
46973+55671	102644
47198+406	47604
47666+9520	57186
8794+9410	18204
577+9291	9868
263+50240	50503
7465+16041	23506
69066+3747	72813
632+65264	65896
7669+54278	61947
6916+221	7137
7579+99855	107434
402+200	602
2598+905	3503
8862+366	9228
28039+47589	75628
209+925	1134
73982+901	74883
447+4235	4682
32508+3775	36283
24455+7241	31696
52943+56086	109029
9909+3569	13478
81013+2287	83300
3295+802	4097
610+41375	41985
196+5335	5531
97057+1432	98489
58505+46167	104672
1796+164	1960
58796+50284	109080
89961+56783	146744
45103+73606	118709
1905+18085	19990
2106+7378	9484
81950+74616	156566
93691+808	94499
61850+9009	70859
781+5246	6027
174+4889	5063
59713+6275	65988
187+6089	6276
87738+7865	95603
598+978	1576
20336+7250	27586
8475+492	8967
8782+2773	11555
4433+306	4739
9896+18650	28546
32702+364	33066
90517+4231	94748
793+1701	2494
6697+30811	37508
95851+33281	129132
19427+9173	28600
1246+116	1362
5732+9731	15463
9673+82019	91692
4805+73875	78680
514+882	1396
2075+129	2204
77314+890	78204
24386+5541	29927
637+4104	4741
544+772	1316
11721+166	11887
214+72155	72369
591+1495	2086
3434+4782	8216
8526+73176	81702
55699+96483	152182
935+265	1200
979+879	1858
727+609	1336
8246+77815	86061
30207+1700	31907
3562+33976	37538
1722+82624	84346
112+944	1056
39818+60100	99918
65904+717	66621
805+620	1425
8615+58724	67339
633+65565	66198
31089+62922	94011
77954+7610	85564
73834+47718	121552
91183+408	91591
83339+202	83541
709+160	869
1504+254	1758
80003+3553	83556
31149+963	32112
964+782	1746
331+808	1139
41696+754	42450
338+86712	87050
84349+849	85198
751+442	1193
4608+12750	17358
4781+20448	25229
6941+32485	39426
5806+151	5957
78248+37783	116031
91997+85622	177619
2672+544	3216
7556+3088	10644
7685+2413	10098
637+4626	5263
429+60223	60652
934+2315	3249
2410+47026	49436
74931+9710	84641
481+3813	4294
